Location,Age,Buddhist,Christian,Hindu,Jewish,Muslim,No_Religion,Sikh,Other_Religion,Not_answered
England,0,1025,144055,10915,3425,66760,295495,5945,1565,49800
England,1,1175,164135,11970,3460,71145,298235,6230,1630,47960
England,2,1310,185310,12370,3435,71150,291790,6260,1735,45675
England,3,1370,198900,13150,3615,70645,286740,6510,1815,43615
England,4,1490,215020,13945,3425,75610,285190,6660,1895,43400
England,5,1565,231120,14175,3640,74835,281395,6845,2065,43050
England,6,1640,236740,14375,3585,74485,269310,6715,2065,41645
England,7,1770,246725,14095,3740,75105,267735,6910,1960,40825
England,8,1915,261550,14340,3630,76840,276215,7225,2150,42260
England,9,1865,266535,14355,3815,76915,279850,7255,2215,41660
England,10,1855,269740,13805,3800,76375,278775,6835,2150,41175
England,11,1865,267430,13020,3625,77075,275625,6645,2155,40275
England,12,1875,265370,12475,3660,76870,276060,6830,2175,39945
England,13,1900,260630,12285,3755,75630,278335,6725,2260,41100
England,14,1890,250560,11265,3535,72325,274365,6625,2220,40430
England,15,1705,240535,10720,3415,70625,269140,6210,2400,39360
England,16,1825,238365,10665,3200,70820,275515,6300,2500,40275
England,17,1885,230790,9750,3020,68530,278260,6015,2710,41085
England,18,2115,209575,9420,2865,66595,284540,6000,3035,48905
England,19,2365,197850,9490,2755,64265,302900,5760,3830,61000
England,20,2830,193655,9440,2790,61220,311505,5930,4085,57840
England,21,2900,199275,9780,2770,59170,327610,6065,4320,56445
England,22,2955,207495,11120,2810,58025,342700,6330,4530,51555
England,23,3120,209295,12420,2890,56880,354445,6120,4850,48270
England,24,3260,212055,12765,3005,55860,365730,6440,5055,46825
England,25,3080,210575,12700,2970,55590,369705,6240,5045,46000
England,26,3135,214830,12395,2960,55360,380315,6395,5320,46690
England,27,3305,219615,12920,3035,55705,388720,6635,5220,47735
England,28,3590,227200,13445,3025,55225,393830,6845,5210,47960
England,29,3570,237770,14485,2935,55455,401070,7425,5485,48550
England,30,3745,248690,16000,3105,57755,405150,7685,5865,49930
England,31,3920,253765,17250,2995,60995,387125,8330,5805,48600
England,32,4035,259950,18390,3110,63240,378340,8840,6080,48650
England,33,4305,269700,20470,3175,64475,373600,9050,6160,48115
England,34,4365,270145,20895,2955,64925,351775,9155,6055,45900
England,35,4525,275990,22220,3030,66060,344220,9300,5935,45170
England,36,4810,279510,22525,3060,66165,331505,9530,6055,44125
England,37,4885,279940,22995,3065,64745,319905,9345,5895,42755
England,38,5220,284280,23115,3120,65350,309990,9715,6060,42015
England,39,5520,288775,23000,3035,63905,307735,9635,6375,41295
England,40,5490,302565,23045,3130,65450,308955,9820,6260,41480
England,41,5560,302755,21670,3175,65260,298845,9760,6355,40820
England,42,5575,293200,20770,3050,61030,277350,9095,5935,38350
England,43,5455,280165,18960,3050,57135,257930,8440,5555,35860
England,44,5710,284295,18360,3005,56605,255050,8565,5735,35785
England,45,5450,294705,17055,2965,53775,258890,8175,5725,36060
England,46,5580,307065,15515,3015,51605,265925,7740,6025,37240
England,47,5490,315585,14300,3195,49985,270290,7655,6240,37755
England,48,5650,337235,13680,3065,46545,280125,7425,6260,40050
England,49,5580,358135,13175,3045,43965,290325,7125,6370,41870
England,50,5510,375200,12210,3095,43575,288940,7125,6455,43180
England,51,5075,377380,12010,3030,42015,273740,7230,6300,41970
England,52,5265,397245,11465,3135,38405,274230,7085,6260,43200
England,53,4915,406000,10965,2995,35115,265650,6640,5900,43220
England,54,4635,416585,10255,3030,30740,265115,6070,5990,43615
England,55,4625,425460,10195,3120,28840,256135,5750,5940,44050
England,56,4425,436140,9895,3150,26020,248340,5470,5925,44590
England,57,4135,435200,9685,3170,23070,235260,5395,5500,43720
England,58,4130,434815,9740,2970,22645,221160,5495,5050,42630
England,59,3860,429230,9975,3085,21190,206490,5355,4785,40555
England,60,3640,422165,9945,3125,21040,192720,5095,4720,38950
England,61,3260,407565,9635,2925,20855,175860,5230,4410,36690
England,62,2975,405140,9400,2995,18605,168290,5055,4150,35815
England,63,2905,397430,9090,3000,18060,158900,5045,3870,34015
England,64,2775,383325,9125,2935,17150,146810,5055,3705,32545
England,65,2695,368980,8795,2910,16350,136915,4985,3460,30940
England,66,2735,363040,8660,2865,15295,129175,5380,3270,30190
England,67,2575,368160,8235,2995,14000,125940,4605,3120,30350
England,68,2505,359035,7685,2940,14070,117735,4780,3010,28920
England,69,2430,357430,7405,3045,11945,112225,4200,2800,28720
England,70,2260,363135,7400,3100,10875,107600,4035,2580,28695
England,71,2335,375830,6730,3215,9710,106665,3625,2435,28920
England,72,2135,388860,6145,3325,8180,104850,3260,2205,28970
England,73,2060,430055,5640,3475,7745,108180,2910,2165,30890
England,74,1800,432095,4955,3545,6725,102545,2445,2045,30285
England,75,1270,325980,4280,2885,6320,73820,2145,1490,23180
England,76,1310,345270,4000,2915,5830,73995,1945,1440,24550
England,77,1125,317460,3930,2735,5495,63660,1995,1190,22455
England,78,955,295725,3785,2305,5565,55630,2050,1030,20770
England,79,790,250840,3360,1625,5045,45850,1900,920,17980
England,80,660,233840,3265,1605,5395,42180,1795,835,16895
England,81,605,238245,3160,1765,5440,40735,1760,740,17145
England,82,560,226695,2870,1785,4635,37435,1595,650,16370
England,83,465,210830,2595,1740,4125,33385,1330,605,15390
England,84,375,192970,2330,1675,3885,29680,1155,475,14415
England,85,330,172950,2030,1460,3410,26005,990,450,12965
England,86,260,154085,1675,1320,2920,22620,925,385,11890
England,87,210,134590,1495,1220,2385,19415,775,375,10370
England,88,170,119475,1215,1235,2030,17230,690,270,9900
England,89,160,104740,955,1055,1510,14775,550,245,8785
England,90,120,90640,760,900,1385,12915,480,200,8010
England,91,90,73060,600,820,1135,10505,380,190,6665
England,92,85,58735,440,715,635,8365,235,120,5635
England,93,50,45540,315,565,530,6445,225,95,4425
England,94,50,35685,220,455,365,5085,160,65,3630
England,95,40,26395,185,400,260,3740,100,50,2885
England,96,20,19410,130,290,205,2740,85,45,2280
England,97,15,13695,90,275,125,1965,55,25,1665
England,98,15,9665,65,170,80,1450,45,20,1225
England,99,10,6855,35,95,65,1000,30,20,960
England,100,2,9860,65,180,150,1435,60,30,1335