Age ,Religion,Population
0,Buddhist,1025
0,Christian,144055
0,Hindu,10915
0,Jewish,3425
0,Muslim,66760
0,No_Religion,295495
0,Sikh,5945
0,Other_Religion,1565
0,Not_answered,49800
1,Buddhist,1175
1,Christian,164135
1,Hindu,11970
1,Jewish,3460
1,Muslim,71145
1,No_Religion,298235
1,Sikh,6230
1,Other_Religion,1630
1,Not_answered,47960
2,Buddhist,1310
2,Christian,185310
2,Hindu,12370
2,Jewish,3435
2,Muslim,71150
2,No_Religion,291790
2,Sikh,6260
2,Other_Religion,1735
2,Not_answered,45675